Question,Answer
What is AI?,Artificial Intelligence is the simulation of human intelligence by machines.
What is Machine Learning?,Machine Learning is a subset of AI that learns from data.
What is Deep Learning?,Deep Learning uses neural networks with multiple layers.
What is Python?,Python is a high-level programming language.
Who developed Python?,Python was developed by Guido van Rossum.
What is NLP?,Natural Language Processing helps computers understand human language.
What is Data Science?,Data Science extracts useful insights from data.
What is TensorFlow?,TensorFlow is a machine learning framework developed by Google.
What is Streamlit?,Streamlit is a Python library used to build web applications easily.
What is Scikit-learn?,Scikit-learn is a Python library for machine learning.
What is Pandas?,Pandas is a library for data manipulation.
What is NumPy?,NumPy provides support for numerical computing in Python.
What is Computer Vision?,Computer Vision enables computers to understand images and videos.
What is OpenCV?,OpenCV is an image processing library.
What is a Neural Network?,A Neural Network is a model inspired by the human brain.
What is an API?,An API allows two software applications to communicate.
What is ChatGPT?,ChatGPT is an AI chatbot developed by OpenAI.
What is a Dataset?,A dataset is a collection of data used for analysis or training.
What is Cosine Similarity?,Cosine Similarity measures similarity between two vectors.
What is TF-IDF?,TF-IDF converts text into numerical vectors based on word importance.
